"Type","Name","CoordNS","CoordEW","HasCottages"
"Mansion","Artifex North Mansion","31.1","-48.7","False"
"Mansion","Artifex South Mansion","19.9","-41.3","False"
"Mansion","Artifice Mansion","-82.5","8.1","False"
"Mansion","Baishi East Mansion","-52.6","64.8","False"
"Mansion","Baishi North Mansion","-41.5","65.5","False"
"Mansion","Banderling Camp Mansion","-35.3","56.7","False"
"Mansion","Banderling Conquest Mansion","-33.4","49.8","False"
"Mansion","Banderling Tower Mansion","35.1","9.7","False"
"Mansion","Blackmire Swamp Mansion","-32","40.8","False"
"Mansion","Danby's Outpost Mansion","23","-32.8","False"
"Mansion","Deep Forest Mansion","31.2","-3.8","False"
"Mansion","Desert March Mansion","10.4","-5.7","False"
"Mansion","Desert Path Mansion","-16.9","26.3","False"
"Mansion","Dryreach Mansion","-0.7","75.4","False"
"Mansion","Empyrean Fields Mansion","-38.4","46.6","False"
"Mansion","Empyrean Shrine Mansion","84","-35.1","False"
"Mansion","Enchantment Mansion","56.1","64.1","False"
"Mansion","Far West Shores Mansion","42.2","-51.5","False"
"Mansion","Farmstead Mansion","64.9","-48.8","False"
"Mansion","Folthid Mansion","-8.7","49.7","False"
"Mansion","Forgotten Mansion","14.3","34.7","False"
"Mansion","Forking Trail Mansion","-66.4","18.6","False"
"Mansion","Frostfell Festival Stone Mansion","62.3","-28.8","False"
"Mansion","Green Mire Mansion","-25.5","68.7","False"
"Mansion","Halls of the Helm Mansion","22.5","4.9","False"
"Mansion","Hidden Valley Mansion","14.6","-12.9","False"
"Mansion","Hilltop Mansion","14.2","41.5","False"
"Mansion","Inner Sea Mansion","16.9","-21.6","False"
"Mansion","Isle of Tears Mansion","25.6","54.3","False"
"Mansion","Jasmine Meadow Mansion","-44.1","46.4","False"
"Mansion","Kara Mansion","-84.7","45","False"
"Mansion","Krau Li Labyrinth Mansion","-36.6","26.3","False"
"Mansion","Landbridge Mansion","-83.2","3.9","False"
"Mansion","Leikotha's Crypt Mansion","-6.4","32","False"
"Mansion","Linvak Range Mansion","-62.2","47.4","False"
"Mansion","Lost Wish Range Mansion","57.7","57.4","False"
"Mansion","Lytelthorpe Mansion","3.2","55.8","False"
"Mansion","Mage Tower Mansion","-27.2","40","False"
"Mansion","Marae Vista Mansion","64.7","-51.9","False"
"Mansion","Markers End Mansion","-28.8","3.9","False"
"Mansion","Mayoi Mansion","-66.1","80.8","False"
"Mansion","Mesa Valley Mansion","51.4","13","False"
"Mansion","Midsong Festival Stone Mansion","2.3","3.2","False"
"Mansion","Mite Tunnels Mansion","37.1","48.9","False"
"Mansion","Mountain Keep Mansion","52.1","30.6","False"
"Mansion","Nanto North Mansion","-47.1","79.3","False"
"Mansion","Nicks Signature Mansion","-51.2","15.3","False"
"Mansion","Northreach Mansion","79.8","32.7","False"
"Mansion","Northwest Delta Mansion","61.5","-48.8","False"
"Mansion","Obsidian Plains Mansion - Retired","-71.2","-56.1","False"
"Mansion","Obsidian Span Mansion","37.6","44.9","False"
"Mansion","Olthoi North Mansion","61.7","75.2","False"
"Mansion","Plateau River Mansion","58.5","-49.5","False"
"Mansion","Point Tremblant Mansion","97","4.1","False"
"Mansion","Power Plant Mansion","27.3","11.9","False"
"Mansion","Ridge Route Mansion","16.3","-43","False"
"Mansion","Riverbend Mansion","-0.2","60.8","False"
"Mansion","Roadside Mansion","-63.1","21.6","False"
"Mansion","Saadia's Retreat Mansion","-50.3","76.8","False"
"Mansion","Samsur Crater Mansion","-0.6","24.9","False"
"Mansion","Sawato Mansion","-19.2","68.2","False"
"Mansion","Sawato Spire Mansion","-32.8","59.1","False"
"Mansion","Seaside Mansion","33.8","69","False"
"Mansion","Seedsow Festival Stone Mansion","-1.7","44.5","False"
"Mansion","Snow Capped Mountain Mansion","-64.5","73.7","False"
"Mansion","South Shore Mansion","-92","12.6","False"
"Mansion","South Shore Overlook Mansion","-90.3","8.9","False"
"Mansion","South Uziz Mansion","-38.1","29.3","False"
"Mansion","Tou-Tou Estate","-36.2","89","False"
"Mansion","Treehouse Tower Mansion","41.7","10.5","False"
"Mansion","Trialos Mansion","-52.8","55.9","False"
"Mansion","Two Pillars Mansion","27.4","33.5","False"
"Mansion","Two Sand Bars Mansion","-83","59.9","False"
"Mansion","Underground Forest Mansion","27.9","21","False"
"Mansion","Uziz Mansion","-29.5","31.1","False"
"Mansion","Virindi Complex Mansion","72.9","32.7","False"
"Mansion","Witshire Mansion","28.6","39.8","False"
"Mansion","Yanshi Mansion","-12.7","52","False"
"Mansion","Yaraq Mansion","-23.2","4","False"
"Mansion","Zaikhal Mansion","15","8.7","False"
"Mansion","Zombie Castle Mansion","-47.2","35.2","False"
"Villa","Alvador","67.8","40.7","False"
"Villa","Amarand Villas","38.6","-9.6","False"
"Villa","Ardent Realm","-39.9","33","True"
"Villa","Auroch Pasture Estates","23.4","26.3","False"
"Villa","Bandit Road Villas","71.3","43.9","False"
"Villa","Beach Pass Villas","47.3","69.9","False"
"Villa","Bhah Dhah Villas","-41.7","26.5","False"
"Villa","Blazing Wand Villas","28","-4.3","False"
"Villa","Bucolic Villas","41.6","15.4","False"
"Villa","Dame Tolani Villas","42.4","-26.3","False"
"Villa","Darasa Villas","35.3","-8.7","False"
"Villa","Direvale Villas","32.9","-22.3","False"
"Villa","Dovetail Valley Villas","24.1","10.4","False"
"Villa","Dry Bone Manors","-30.1","18.6","False"
"Villa","Dryreach Beach Manors","-3.9","75.9","False"
"Villa","East Al-Jalima Villas","8","17.7","False"
"Villa","East Morntide Villas","38.5","-12.6","False"
"Villa","East Rithwic Estates","10.4","66.4","False"
"Villa","Ebbing Tide Villas","-61.2","14.5","False"
"Villa","Empyrean Shore Villas","83.3","-39.5","False"
"Villa","Erevana Villas","-56.7","35.2","False"
"Villa","Explorer's Villas","61.2","65.6","True"
"Villa","Far Claw Villas","54","58.9","False"
"Villa","Gharu'n Victory Villas","17.6","-12.7","False"
"Villa","Gredaline Villas","-60.1","32","False"
"Villa","Helms Villas","22.5","0.7","False"
"Villa","Hero's Vale","30.4","-45.6","False"
"Villa","Highland Manors","63.2","16.9","False"
"Villa","Howling Wolf Villas","28.8","17.7","False"
"Villa","Iceea Hills Estates","25.6","29.9","False"
"Villa","Ishilai Inlet Villas","-84.8","51.4","False"
"Villa","Jin-Lai Stronghold","-7.2","60.8","True"
"Villa","King Pwyll Square","9.6","36.9","False"
"Villa","Laiti's Villa","67.1","-17.2","False"
"Villa","Land Bridge Villas","-87.1","3.3","False"
"Villa","Last-Stop-Before-Dires Villas","23.4","-46.4","False"
"Villa","Lo-Han","-34.4","52.9","False"
"Villa","Lord Cambarth Villas","80.8","-11.1","False"
"Villa","Loredane Villas","9.4","-12.7","False"
"Villa","Mage's Pass","-52.7","52.9","True"
"Villa","Maythen Geroyu Villas","15.3","26.4","False"
"Villa","Mimiana Villas","24.9","-4","False"
"Villa","Mire Hill","-21.6","60.9","False"
"Villa","Mistdweller Villas","30.5","14.5","False"
"Villa","Nan-Zari","-48.7","88.6","False"
