Type,Settlement Name,CoordNS,CoordEW
Villa,Stone Face Oasis Villas,1.7N, 21.7E
Villa,Siege Road Villas,3.1N, 65.7E
Villa,Dryreach Beach Manors,3.9S, 75.9E
Villa,North Lytelthorpe Villas,6.4N, 49.0E
Villa,Neu Gerz Villas,7.0S, 56.9E
Villa,Jin-Lai Stronghold,7.2S, 60.8E
Villa,East Al-Jalima Villas,8.0N, 17.7E
Villa,Loredane Villas,9.4N, 12.7W
Villa,Naqut Dreams Villas,9.5S, 11.5E
Villa,Villas,9.6N, 0.9E
Villa,King Pwyll Square,9.6N, 36.9E
Villa,East Rithwic Estates,10.4N, 66.4E
Villa,Villa,10.6N, 69.5E
Villa,Palm-of-Stone Villas,11.0N, 26.4E
Villa,West Rithwic Estates,12.0N, 48.1E
Villa,South Siege Villas,12.8S, 72.8E
Villa,Vulture's Eye Villas,13.6S, 26.5E
Villa,Unified Heart Villas,13.7N, 16.1E
Villa,North Yaraq Villas,15.1S, 2.5W
Villa,Nidal-Taraq Villas,15.2N, 17.5W
Villa,Maythen Geroyu Villas,15.3N, 26.4E
Villa,West Zaikhal Freehold,16.8N, 9.6W
Villa,Tinkelo Hold Villas,17.5N, 36.1E
Villa,Gharu'n Victory Villas,17.6N, 12.7W
Villa,North Sawato Villas,19.8S, 56.0E
Villa,Villa,20.3N, 31.2E
Villa,Mire Hill,21.6S, 60.9E
Villa,Helms Villas,22.5N, 0.7E
Villa,Auroch Pasture Estates,23.4N, 26.3E
Villa,Last-Stop-Before-Dires Villas,23.4N, 46.4W
Villa,Dovetail Valley Villas,24.1N, 10.4E
Villa,Soltan Villas,24.8N, 15.3E
Villa,Mimiana Villas,24.9N, 4.0W
Villa,Iceea Hills Estates,25.6N, 29.9E
Villa,Stoneport Villas,25.6S, 79.3E
Villa,Tarn Vinara Villas,27.8N, 25.4W
Villa,Blazing Wand Villas,28.0N, 4.3W
Villa,Howling Wolf Villas,28.8N, 17.7E
Villa,Dry Bone Manors,30.1S, 18.6E
Villa,Hero's Vale,30.4N, 45.6W
Villa,Mistdweller Villas,30.5N, 14.5E
Villa,Sanam Batal Villas,31.2N, 11.9W
Villa,Wolfenvale,31.2N, 28.7W
Villa,Direvale Villas,32.9N, 22.3W
Villa,South Uziz Villas,34.4S, 29.5E
Villa,Lo-Han,34.4S, 52.9E
Villa,Villa,34.6S, 95.8E
Villa,Villas,35.2N, 27.1W
Villa,Yee Villas,35.2N, 36.0W
Villa,South Beach Pass Villas,35.3N, 65.9E
Villa,Darasa Villas,35.3N, 8.7W
Villa,Stone Scythe Stronghold,35.9N, 32.7W
Villa,Villa,36.2N, 51.7W
Villa,Shou-Zin,36.7S, 69.1E
Villa,Wilomine Villas,37.6N, 48.9W
Villa,Villas,38.4N, 24.1E
Villa,East Morntide Villas,38.5N, 12.6W
Villa,Amarand Villas,38.6N, 9.6W
Villa,Ardent Realm,39.9S, 33.0E
Villa,Shield of Ispar Villas,40.0S, 36.0E
Villa,South Shoushi Villas,40.6S, 69.7E
Villa,Bucolic Villas,41.6N, 15.4E
Villa,Bhah Dhah Villas,41.7S, 26.5E
Villa,Dame Tolani Villas,42.4N, 26.3W
Villa,Tou-Tou Road Villas,42.4S, 91.3E
Villa,Villas,42.9S, 30.5E
Villa,Villas,44.1N, 5.5W
Villa,Villa,44.2N, 39.4W
Villa,Tanshi,45.6S, 67.2E
Villa,South Hebian-To Estates,45.6S, 83.3E
Villa,West Holtburg Villas,46.5N, 40.7E
Villa,Villa,46.9S, 29.4E
Villa,Villas,47.2N, 63.3E
Villa,Beach Pass Villas,47.3N, 69.9E
Villa,Villas,48.0S, 32.1E
Villa,Nan-Zari,48.7S, 88.6E
Villa,Villa,49.5N, 24.9E
Villa,Rivermouth Villas,51.4N, 50.3W
Villa,Rahvard Square,52.1N, 39.9W
Villa,Mage's Pass,52.7S, 52.9E
Villa,Villa,52.9S, 19.0E
Villa,Far Claw Villas,54.0N, 58.9E
Villa,Villa,55.3S, 86.5E
Villa,Villa,55.4N, 41.7W
Villa,Stormtree Villas,56.5N, 35.2W
Villa,Villa,56.7S, 27.1E
Villa,Erevana Villas,56.7S, 35.2E
Villa,Tattered Ridge,59.9S, 44.3E
Villa,Gredaline Villas,60.1S, 32.0E
Villa,Villalabar,60.6S, 18.5E
Villa,West Mayoi Mountain Villas,60.8S, 73.6E
Villa,Explorer's Villas,61.2N, 65.6E
Villa,Ebbing Tide Villas,61.2S, 14.5E
Villa,Villas,62.5N, 25.5W
Villa,Ro-Nan,63.1S, 35.2E
Villa,Highland Manors,63.2N, 16.9E
Villa,Villas,63.3N, 56.9E
Villa,Villa,64.6N, 20.6W
Villa,Villa,64.9N, 68.7E
Villa,Villa,65.5S, 84.0E
Villa,Villa,66.5N, 74.5E
Villa,Laiti's Villa,67.1N, 17.2W
Villa,Alvador,67.8N, 40.7E
Villa,Qalaba'r Seaside Villas,68.2S, 14.2E
Villa,Villa,70.6S, 22.2E
Villa,Bandit Road Villas,71.3N, 43.9E
Villa,Villas,72.0N, 26.3W
